Arc3,AssistPts,AtRim,Corner3,LongMidRange,ShortMidRange,source,target,value,Season,teamId,Team,sourceName,targetName
3,19,1,2,1,0,101141,2594,7,2019-20,1610612749,Bucks,Ersan Ilyasova,Kyle Korver
7,21,0,0,0,0,201572,2594,7,2019-20,1610612749,Bucks,Brook Lopez,Kyle Korver
3,21,0,2,3,0,201577,2594,8,2019-20,1610612749,Bucks,Robin Lopez,Kyle Korver
9,42,0,5,0,0,201588,2594,14,2019-20,1610612749,Bucks,George Hill,Kyle Korver
2,6,0,0,0,0,202083,2594,2,2019-20,1610612749,Bucks,Wesley Matthews,Kyle Korver
11,40,0,1,2,0,202339,2594,14,2019-20,1610612749,Bucks,Eric Bledsoe,Kyle Korver
2,13,1,1,1,0,203114,2594,5,2019-20,1610612749,Bucks,Khris Middleton,Kyle Korver
16,82,1,8,2,2,203507,2594,29,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Kyle Korver
1,17,3,0,2,2,2594,101141,8,2019-20,1610612749,Bucks,Kyle Korver,Ersan Ilyasova
3,21,6,0,0,0,2594,201588,9,2019-20,1610612749,Bucks,Kyle Korver,George Hill
1,3,0,0,0,0,2594,202339,1,2019-20,1610612749,Bucks,Kyle Korver,Eric Bledsoe
1,7,1,0,0,1,2594,203114,3,2019-20,1610612749,Bucks,Kyle Korver,Khris Middleton
3,27,7,0,2,0,2594,203507,12,2019-20,1610612749,Bucks,Kyle Korver,Giannis Antetokounmpo
6,33,0,3,3,0,1626192,2594,12,2019-20,1610612749,Bucks,Pat Connaughton,Kyle Korver
4,16,0,0,1,1,1628391,2594,6,2019-20,1610612749,Bucks,D.J. Wilson,Kyle Korver
1,6,0,1,0,0,1628412,2594,2,2019-20,1610612749,Bucks,Frank Mason,Kyle Korver
1,8,1,1,0,0,1628425,2594,3,2019-20,1610612749,Bucks,Sterling Brown,Kyle Korver
6,21,0,1,0,0,1628978,2594,7,2019-20,1610612749,Bucks,Donte DiVincenzo,Kyle Korver
4,28,8,0,0,0,2594,1626192,12,2019-20,1610612749,Bucks,Kyle Korver,Pat Connaughton
2,18,2,2,0,1,2594,1628391,7,2019-20,1610612749,Bucks,Kyle Korver,D.J. Wilson
1,9,3,0,0,0,2594,1628978,4,2019-20,1610612749,Bucks,Kyle Korver,Donte DiVincenzo
0,2,1,0,0,0,2594,201572,1,2019-20,1610612749,Bucks,Kyle Korver,Brook Lopez
0,14,4,0,0,3,2594,201577,7,2019-20,1610612749,Bucks,Kyle Korver,Robin Lopez
0,2,1,0,0,0,2594,202083,1,2019-20,1610612749,Bucks,Kyle Korver,Wesley Matthews
1,7,0,0,1,1,101107,203114,3,2019-20,1610612749,Bucks,Marvin Williams,Khris Middleton
2,12,2,0,0,1,101141,201572,5,2019-20,1610612749,Bucks,Ersan Ilyasova,Brook Lopez
2,11,0,1,0,1,101141,201577,4,2019-20,1610612749,Bucks,Ersan Ilyasova,Robin Lopez
3,17,3,0,1,0,101141,201588,7,2019-20,1610612749,Bucks,Ersan Ilyasova,George Hill
3,15,0,0,1,2,101141,203114,6,2019-20,1610612749,Bucks,Ersan Ilyasova,Khris Middleton
2,14,2,0,1,1,201572,101141,6,2019-20,1610612749,Bucks,Brook Lopez,Ersan Ilyasova
5,18,0,1,0,0,201572,201588,6,2019-20,1610612749,Bucks,Brook Lopez,George Hill
7,23,1,0,0,0,201572,202083,8,2019-20,1610612749,Bucks,Brook Lopez,Wesley Matthews
6,33,4,1,1,1,201572,202339,13,2019-20,1610612749,Bucks,Brook Lopez,Eric Bledsoe
6,52,8,0,6,3,201572,203114,23,2019-20,1610612749,Bucks,Brook Lopez,Khris Middleton
10,53,8,1,2,0,201572,203507,21,2019-20,1610612749,Bucks,Brook Lopez,Giannis Antetokounmpo
2,9,0,1,0,0,201577,101141,3,2019-20,1610612749,Bucks,Robin Lopez,Ersan Ilyasova
1,5,1,0,0,0,201577,202339,2,2019-20,1610612749,Bucks,Robin Lopez,Eric Bledsoe
4,20,0,0,3,1,201577,203114,8,2019-20,1610612749,Bucks,Robin Lopez,Khris Middleton
1,13,1,2,0,1,201588,101107,5,2019-20,1610612749,Bucks,George Hill,Marvin Williams
3,29,7,0,1,2,201588,101141,13,2019-20,1610612749,Bucks,George Hill,Ersan Ilyasova
5,53,6,4,0,7,201588,201572,22,2019-20,1610612749,Bucks,George Hill,Brook Lopez
1,43,8,2,0,9,201588,201577,20,2019-20,1610612749,Bucks,George Hill,Robin Lopez
4,17,0,1,0,1,201588,202083,6,2019-20,1610612749,Bucks,George Hill,Wesley Matthews
9,59,3,2,5,5,201588,203114,24,2019-20,1610612749,Bucks,George Hill,Khris Middleton
2,56,20,0,2,3,201588,203507,27,2019-20,1610612749,Bucks,George Hill,Giannis Antetokounmpo
7,39,5,2,0,1,202083,201572,15,2019-20,1610612749,Bucks,Wesley Matthews,Brook Lopez
2,6,0,0,0,0,202083,201588,2,2019-20,1610612749,Bucks,Wesley Matthews,George Hill
4,29,7,1,0,0,202083,202339,12,2019-20,1610612749,Bucks,Wesley Matthews,Eric Bledsoe
6,36,2,2,1,3,202083,203114,14,2019-20,1610612749,Bucks,Wesley Matthews,Khris Middleton
4,59,20,1,1,1,202083,203507,27,2019-20,1610612749,Bucks,Wesley Matthews,Giannis Antetokounmpo
1,11,0,2,0,1,202339,101107,4,2019-20,1610612749,Bucks,Eric Bledsoe,Marvin Williams
8,47,10,1,0,0,202339,101141,19,2019-20,1610612749,Bucks,Eric Bledsoe,Ersan Ilyasova
19,133,27,2,0,8,202339,201572,56,2019-20,1610612749,Bucks,Eric Bledsoe,Brook Lopez
3,45,7,4,0,5,202339,201577,19,2019-20,1610612749,Bucks,Eric Bledsoe,Robin Lopez
2,12,3,0,0,0,202339,201588,5,2019-20,1610612749,Bucks,Eric Bledsoe,George Hill
18,105,6,9,3,3,202339,202083,39,2019-20,1610612749,Bucks,Eric Bledsoe,Wesley Matthews
17,106,8,9,4,2,202339,203114,40,2019-20,1610612749,Bucks,Eric Bledsoe,Khris Middleton
9,179,66,2,4,3,202339,203507,84,2019-20,1610612749,Bucks,Eric Bledsoe,Giannis Antetokounmpo
7,57,9,2,3,3,203114,101141,24,2019-20,1610612749,Bucks,Khris Middleton,Ersan Ilyasova
14,119,21,3,2,11,203114,201572,51,2019-20,1610612749,Bucks,Khris Middleton,Brook Lopez
1,11,4,0,0,0,203114,201577,5,2019-20,1610612749,Bucks,Khris Middleton,Robin Lopez
3,53,11,6,1,1,203114,201588,22,2019-20,1610612749,Bucks,Khris Middleton,George Hill
